,index,Unnamed: 0,Close,High,Low,Open,Volume,date,weekday,month,c-o,candle,cashopen,cash,action,diff,quantity
41,41,41,5745.950195,5863.600098,5724.299805,5859.5,182300,19-03-2013,1,3,-1.9378753306596066,0,64333.434544,65468.932594,short,1135.4980499999965,-10.0
42,42,42,5694.399902,5745.299805,5682.299805,5740.549805,187600,20-03-2013,2,3,-0.8039282746019054,1,65468.932594,65976.58152699999,short,507.64893299999494,-11.0
43,43,43,5658.75,5757.75,5647.950195,5705.899902,179200,21-03-2013,3,3,-0.8263359471741415,1,65976.58152699999,65457.93260499999,long,-518.6489220000012,11.0
44,44,44,5651.350098,5691.450195,5631.799805,5659.799805,165300,22-03-2013,4,3,-0.14929339006894013,2,65457.93260499999,65364.98582799999,long,-92.94677699999738,11.0
45,45,45,5633.850098,5718.399902,5624.399902,5707.299805,150400,25-03-2013,0,3,-1.286943204484415,0,65364.98582799999,66172.932605,short,807.9467769999974,-11.0
46,46,46,5641.600098,5655.299805,5612.049805,5613.75,126500,26-03-2013,1,3,0.4961050634602519,3,66172.932605,65866.581527,short,-306.3510779999988,-11.0
47,47,47,5682.549805,5692.950195,5604.850098,5647.75,209700,28-03-2013,3,3,0.6161711300960498,4,65866.581527,65483.783672000005,short,-382.79785499999616,-11.0
48,48,48,5704.399902,5720.950195,5675.899902,5697.350098,97800,01-04-2013,0,4,0.12373829725638572,3,65483.783672000005,65406.235828000004,short,-77.54784400000244,-11.0
49,49,49,5748.100098,5754.600098,5687.149902,5701.700195,106400,02-04-2013,1,4,0.8137906486330002,4,65406.235828000004,64895.83689500001,short,-510.39893299999494,-11.0
50,50,50,5672.899902,5744.950195,5650.100098,5740.200195,140700,03-04-2013,2,4,-1.172438080794153,0,64895.83689500001,65636.14011800001,short,740.3032230000026,-11.0
51,51,51,5574.75,5644.450195,5565.649902,5640.649902,134600,04-04-2013,3,4,-1.1683033541336085,0,65636.14011800001,66361.03904,short,724.8989220000012,-11.0
52,52,52,5553.25,5577.299805,5534.700195,5568.100098,137500,05-04-2013,4,4,-0.266699551707662,2,66361.03904,66524.39011800001,short,163.35107799999878,-11.0
53,53,53,5542.950195,5569.200195,5537.049805,5550.5,97000,08-04-2013,0,4,-0.136020268444278,2,66524.39011800001,66607.43797300001,short,83.04785499999616,-11.0
54,54,54,5495.100098,5603.049805,5487.0,5568.75,138200,09-04-2013,1,4,-1.322557162738498,0,66607.43797300001,67417.58689500001,short,810.1489220000012,-11.0
55,55,55,5558.700195,5569.25,5477.200195,5536.25,128600,10-04-2013,2,4,0.40551266651614987,3,67417.58689500001,67148.18455500001,short,-269.4023400000042,-12.0
56,56,56,5594.0,5610.649902,5542.850098,5601.649902,146800,11-04-2013,3,4,-0.13656515729890237,2,67148.18455500001,67232.33347700001,short,84.14892200000122,-11.0
57,57,57,5528.549805,5544.5,5494.899902,5520.700195,127300,12-04-2013,4,4,0.14218504397519274,3,67232.33347700001,67138.13815700001,short,-94.19531999999163,-12.0
58,58,58,5568.399902,5592.850098,5500.299805,5508.5,142900,15-04-2013,0,4,1.0874085867296017,5,67138.13815700001,66419.33933300001,short,-718.7988240000013,-12.0
59,59,59,5688.950195,5699.25,5555.850098,5562.450195,142700,16-04-2013,1,4,2.2741776656932386,5,66419.33933300001,65027.83933300001,short,-1391.5,-11.0
60,60,60,5688.700195,5732.149902,5669.0,5708.649902,154600,17-04-2013,2,4,-0.34946453789381043,2,65027.83933300001,65247.28611000001,short,219.44677699999738,-11.0
61,61,61,5783.100098,5794.350098,5681.850098,5682.700195,149900,18-04-2013,3,4,1.7667640303871344,5,65247.28611000001,64142.88717700001,short,-1104.398932999995,-11.0
62,62,62,5834.399902,5844.850098,5789.799805,5789.850098,135100,22-04-2013,0,4,0.7694465874926391,4,64142.88717700001,63652.83933300001,short,-490.04784400000244,-11.0
63,63,63,5836.899902,5844.299805,5791.549805,5843.100098,132200,23-04-2013,1,4,-0.10611141168233634,2,63652.83933300001,63714.841293000005,short,62.00195999999778,-10.0
64,64,64,5916.299805,5924.600098,5853.299805,5856.100098,199600,25-04-2013,3,4,1.0279828895096828,5,63714.841293000005,63112.84422300001,short,-601.9970699999976,-10.0
65,65,65,5871.450195,5907.049805,5860.5,5899.75,141300,26-04-2013,4,4,-0.47967803720496044,2,63112.84422300001,63395.842273,short,282.9980499999965,-10.0
66,66,66,5904.100098,5918.649902,5868.799805,5877.600098,118900,29-04-2013,0,4,0.4508642908355961,3,63395.842273,63130.842273,short,-265.0,-10.0
67,67,67,5930.200195,5962.299805,5867.799805,5932.600098,153200,30-04-2013,1,4,-0.04045280248720281,2,63130.842273,63154.841302999994,short,23.9990299999954,-10.0
68,68,68,5999.350098,6019.450195,5910.950195,5911.399902,162400,02-05-2013,3,5,1.4878065679542953,5,63154.841302999994,62275.339343,short,-879.5019599999978,-10.0
69,69,69,5944.0,6000.299805,5930.149902,5993.5,145800,03-05-2013,4,5,-0.8258947192792191,1,62275.339343,62770.339343,short,495.0,-10.0
70,70,70,5971.049805,5976.5,5928.450195,5944.899902,110200,06-05-2013,0,5,0.43987120777596467,3,62770.339343,63031.838373,long,261.4990299999954,10.0
71,71,71,6043.549805,6050.5,5982.950195,5983.450195,136400,07-05-2013,1,5,1.0044306886722452,5,63031.838373,62430.84227300001,short,-600.996099999993,-10.0
72,72,72,6069.299805,6083.549805,6024.950195,6064.149902,122300,08-05-2013,2,5,0.08492374171524132,3,62430.84227300001,62379.34324300002,short,-51.4990299999954,-10.0
73,73,73,6050.149902,6084.700195,6040.450195,6078.350098,110000,09-05-2013,3,5,-0.46394491178253583,2,62379.34324300002,62661.34520300001,short,282.0019599999978,-10.0
74,74,74,6094.75,6105.299805,6045.600098,6046.25,111400,10-05-2013,4,5,0.8021500930328715,4,62661.34520300001,62176.34520300001,short,-485.0,-10.0
75,75,75,5980.450195,6104.950195,5972.899902,6098.200195,107900,13-05-2013,0,5,-1.930897580183492,0,62176.34520300001,63353.84520300001,short,1177.5,-10.0
76,76,76,5995.399902,6026.200195,5970.049805,5989.700195,119300,14-05-2013,1,5,0.09515846894570258,3,63353.84520300001,63296.848133000014,short,-56.99706999999762,-10.0
77,77,77,6146.75,6157.100098,6018.850098,6018.850098,153900,15-05-2013,2,5,2.124988991543416,5,63296.848133000014,62017.84911300001,short,-1278.999020000001,-10.0
78,78,78,6169.899902,6187.299805,6128.25,6128.25,158600,16-05-2013,3,5,0.6796377758740278,4,62017.84911300001,61601.35009300001,short,-416.4990200000011,-10.0
79,79,79,6187.299805,6199.950195,6146.149902,6172.950195,147300,17-05-2013,4,5,0.23245951363129866,3,61601.35009300001,61472.20360300001,short,-129.14648999999372,-9.0
80,80,80,6156.899902,6229.450195,6146.049805,6198.0,122300,20-05-2013,0,5,-0.6631187157147449,1,61472.20360300001,61842.10448500001,short,369.900881999999,-9.0
81,81,81,6114.100098,6180.25,6102.350098,6152.350098,130600,21-05-2013,1,5,-0.6217136442289634,1,61842.10448500001,61459.60448500001,long,-382.5,10.0
82,82,82,6094.5,6147.600098,6074.450195,6127.049805,133800,22-05-2013,2,5,-0.5312475993493193,1,61459.60448500001,61134.10643500001,long,-325.4980499999965,10.0
83,83,83,5967.049805,6081.450195,5955.700195,6050.399902,198900,23-05-2013,3,5,-1.377596495273784,0,61134.10643500001,60300.60546500001,long,-833.5009700000046,10.0
84,84,84,5983.549805,6015.299805,5936.799805,6010.700195,161600,24-05-2013,4,5,-0.45170095195541016,2,60300.60546500001,60572.10936500002,short,271.503900000007,-10.0
85,85,85,6083.149902,6099.899902,5975.549805,5989.399902,115100,27-05-2013,0,5,1.5652653276448394,5,60572.10936500002,59634.60936500002,short,-937.5,-10.0
86,86,86,6111.25,6127.649902,6055.399902,6086.350098,139700,28-05-2013,1,5,0.4091105769315229,3,59634.60936500002,59410.51024700002,short,-224.099118000001,-9.0
87,87,87,6104.299805,6125.049805,6069.799805,6120.450195,120200,29-05-2013,2,5,-0.26387585039405254,2,59410.51024700002,59555.86375700002,short,145.35351000000628,-9.0
88,88,88,6124.049805,6133.75,6072.149902,6072.149902,194100,30-05-2013,3,5,0.8547203846681244,4,59555.86375700002,59088.76463000002,short,-467.09912699999586,-9.0
89,89,89,5985.950195,6106.25,5975.549805,6098.700195,175300,31-05-2013,4,5,-1.8487545935187588,0,59088.76463000002,60103.51463000002,short,1014.75,-9.0
90,90,90,5939.299805,6011.0,5916.350098,5997.350098,112100,03-06-2013,0,6,-0.9679323709876281,1,60103.51463000002,60684.01756000002,short,580.5029300000024,-10.0
91,91,91,5919.450195,5981.600098,5910.25,5941.100098,114500,04-06-2013,1,6,-0.3644089923226125,2,60684.01756000002,60467.51853000002,long,-216.4990299999954,10.0
92,92,92,5923.850098,5935.200195,5883.700195,5908.299805,110200,05-06-2013,2,6,0.2631940408108698,3,60467.51853000002,60312.01560000002,short,-155.50293000000238,-10.0
93,93,93,5921.399902,5956.549805,5869.5,5895.0,114200,06-06-2013,3,6,0.4478354877014438,3,60312.01560000002,60048.01658000002,short,-263.9990200000011,-10.0
94,94,94,5881.0,5972.700195,5871.299805,5900.049805,118300,07-06-2013,4,6,-0.32287532528718466,2,60048.01658000002,60238.51463000001,short,190.4980499999965,-10.0
95,95,95,5878.0,5931.649902,5857.399902,5907.899902,100100,10-06-2013,0,6,-0.5061003486175876,1,60238.51463000001,60537.513650000015,short,298.9990200000011,-10.0
96,96,96,5788.799805,5868.049805,5780.350098,5848.75,180900,11-06-2013,1,6,-1.0250086770677556,0,60537.513650000015,59938.01170000001,long,-599.5019500000035,10.0
97,97,97,5760.200195,5792.899902,5738.600098,5771.75,140400,12-06-2013,2,6,-0.20010923896564564,2,59938.01170000001,60053.509750000005,short,115.49804999999651,-10.0
98,98,98,5699.100098,5729.850098,5683.100098,5709.350098,142000,13-06-2013,3,6,-0.17953006601558033,2,60053.509750000005,60156.009750000005,short,102.5,-10.0
99,99,99,5808.399902,5819.399902,5739.399902,5748.950195,124400,14-06-2013,4,6,1.0340967478150114,5,60156.009750000005,59561.51268000001,short,-594.4970699999976,-10.0
100,100,100,5850.049805,5854.899902,5770.25,5820.399902,107200,17-06-2013,0,6,0.5094135024950995,4,59561.51268000001,59265.013650000015,short,-296.4990299999954,-10.0
101,101,101,5813.600098,5863.399902,5804.299805,5841.899902,117500,18-06-2013,1,6,-0.48442808803197157,2,59265.013650000015,59548.01169000002,short,282.9980400000022,-10.0
102,102,102,5822.25,5828.399902,5777.899902,5805.75,115500,19-06-2013,2,6,0.2842010076217543,3,59548.01169000002,59383.01169000002,short,-165.0,-10.0
103,103,103,5655.899902,5755.0,5645.649902,5754.149902,198400,20-06-2013,3,6,-1.7074633381700872,0,59383.01169000002,60365.51169000002,short,982.5,-10.0
104,104,104,5667.649902,5686.149902,5616.850098,5639.899902,182400,21-06-2013,4,6,0.4920300090815335,3,60365.51169000002,60088.01169000002,short,-277.5,-10.0
105,105,105,5590.25,5640.0,5566.25,5638.049805,193500,24-06-2013,0,6,-0.847807427270495,1,60088.01169000002,60566.009740000016,short,477.9980499999965,-10.0
106,106,106,5609.100098,5666.25,5570.25,5606.950195,196600,25-06-2013,1,6,0.038343536597074054,3,60566.009740000016,60587.508770000015,long,21.4990299999954,10.0
107,107,107,5588.700195,5635.25,5579.350098,5627.950195,160100,26-06-2013,2,6,-0.6974119997520696,1,60587.508770000015,60980.008770000015,short,392.5,-10.0
108,108,108,5682.350098,5699.350098,5630.950195,5647.950195,239000,27-06-2013,3,6,0.6090688092549572,4,60980.008770000015,61324.007800000014,long,343.9990299999954,10.0
109,109,109,5842.200195,5852.950195,5749.5,5749.5,214400,28-06-2013,4,6,1.6123175058700818,5,61324.007800000014,60397.00585000001,short,-927.0019500000035,-10.0
110,110,110,5898.850098,5904.350098,5822.200195,5834.100098,144800,01-07-2013,0,7,1.109854114813647,5,60397.00585000001,59749.50585000001,short,-647.5,-10.0
111,111,111,5857.549805,5898.799805,5852.299805,5885.5,145700,02-07-2013,1,7,-0.47489924390451704,2,59749.50585000001,60029.007800000014,short,279.5019500000035,-10.0
112,112,112,5770.899902,5815.0,5760.399902,5811.950195,160500,03-07-2013,2,7,-0.7063084097884331,1,60029.007800000014,60439.510730000016,short,410.5029300000024,-10.0
113,113,113,5836.950195,5848.200195,5786.049805,5794.75,151900,04-07-2013,3,7,0.7282487596531403,4,60439.510730000016,60861.51268000002,long,422.0019500000035,10.0
114,114,114,5867.899902,5900.450195,5858.450195,5889.950195,123600,05-07-2013,4,7,-0.374371467838876,2,60861.51268000002,61082.015610000024,short,220.50293000000238,-10.0
115,115,115,5811.549805,5833.850098,5775.549805,5833.149902,127600,08-07-2013,0,7,-0.3702990213331305,2,61082.015610000024,61298.01658000003,short,216.0009700000046,-10.0
116,116,116,5859.0,5864.950195,5834.600098,5834.600098,110400,09-07-2013,1,7,0.4181932195895306,3,61298.01658000003,61054.01756000003,short,-243.9990200000011,-10.0
117,117,117,5816.700195,5879.350098,5802.850098,5869.899902,117500,10-07-2013,2,7,-0.9063137002025108,1,61054.01756000003,61586.01463000003,short,531.9970699999976,-10.0
118,118,118,5935.100098,5948.850098,5887.950195,5894.5,120200,11-07-2013,3,7,0.688779336669775,4,61586.01463000003,61992.015610000024,long,406.0009799999989,10.0
119,119,119,6009.0,6019.0,5951.149902,6000.5,127700,12-07-2013,4,7,0.14165486209482542,3,61992.015610000024,61907.015610000024,short,-85.0,-10.0
120,120,120,6030.799805,6038.200195,5980.950195,5991.200195,116300,15-07-2013,0,7,0.6609628907584735,4,61907.015610000024,61511.019510000035,short,-395.996099999993,-10.0
121,121,121,5955.25,5966.049805,5910.950195,5930.799805,151200,16-07-2013,1,7,0.41225797200889247,3,61511.019510000035,61266.51756000003,short,-244.5019500000035,-10.0
122,122,122,5973.299805,5989.799805,5926.75,5972.25,191500,17-07-2013,2,7,0.0175780484741873,3,61266.51756000003,61256.019510000035,short,-10.49804999999651,-10.0
123,123,123,6038.049805,6051.100098,5974.549805,5984.700195,171700,18-07-2013,3,7,0.8914332925911804,4,61256.019510000035,60722.523410000045,short,-533.496099999993,-10.0
124,124,124,6029.200195,6066.850098,6020.25,6057.200195,163300,19-07-2013,4,7,-0.4622597751204094,2,60722.523410000045,61002.523410000045,short,280.0,-10.0
125,125,125,6031.799805,6064.149902,6004.25,6009.75,115200,22-07-2013,0,7,0.36690053662797373,3,61002.523410000045,60782.02536000005,short,-220.4980499999965,-10.0
126,126,126,6077.799805,6093.350098,6061.299805,6064.299805,126500,23-07-2013,1,7,0.22261432373230106,3,60782.02536000005,60647.02536000005,short,-135.0,-10.0
127,127,127,5990.5,6047.25,5962.600098,6032.200195,151900,24-07-2013,2,7,-0.6912932868933132,1,60647.02536000005,61064.027310000056,short,417.0019500000035,-10.0
128,128,128,5907.5,5990.649902,5896.399902,5970.399902,237100,25-07-2013,3,7,-1.0535291275703245,0,61064.027310000056,60435.02829000006,long,-628.9990200000011,10.0
129,129,129,5886.200195,5944.5,5869.5,5937.950195,174500,26-07-2013,4,7,-0.8715128672445862,1,60435.02829000006,60952.52829000006,short,517.5,-10.0
130,130,130,5831.649902,5886.0,5825.799805,5869.950195,173400,29-07-2013,0,7,-0.6524807149577567,1,60952.52829000006,60569.52536000006,long,-383.0029300000024,10.0
131,131,131,5755.049805,5861.299805,5747.600098,5836.049805,181500,30-07-2013,1,7,-1.3879250984219456,0,60569.52536000006,59759.52536000006,long,-810.0,10.0
132,132,132,5742.0,5752.100098,5675.75,5738.350098,235500,31-07-2013,2,7,0.06360542556077609,3,59759.52536000006,59723.026340000055,short,-36.49902000000111,-10.0
133,133,133,5727.850098,5808.5,5676.850098,5776.899902,216800,01-08-2013,3,8,-0.8490679227974656,1,59723.026340000055,60213.52438000006,short,490.4980400000022,-10.0
134,134,134,5677.899902,5761.850098,5649.0,5750.049805,222500,02-08-2013,4,8,-1.2547700532482526,0,60213.52438000006,59492.02535000006,long,-721.4990299999954,10.0
135,135,135,5685.399902,5721.0,5661.5,5682.399902,197200,05-08-2013,0,8,0.05279459474409937,3,59492.02535000006,59462.02535000006,short,-30.0,-10.0
136,136,136,5542.25,5664.899902,5521.799805,5664.899902,216200,06-08-2013,1,8,-2.1650850698473665,0,59462.02535000006,60688.524370000065,short,1226.499020000001,-10.0
